               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029565,           0.0074643,                   0,             0.87764,             0.90265,             0.91284,             0.51504,              0.0327,           0.0049509,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.030036,           0.0074053,                   0,             0.88657,              0.8992,             0.89333,             0.51871,            0.032908,           0.0049199,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.030683,           0.0073547,                   0,             0.88812,             0.88496,             0.89051,              0.5228,             0.03378,           0.0047986,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.029637,           0.0073371,                   0,              0.8838,              0.9115,             0.92002,             0.47705,            0.033999,           0.0049009,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029523,           0.0076345,                   0,             0.90434,             0.92025,             0.94302,             0.50077,            0.032853,           0.0048718,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029747,           0.0075338,                   0,             0.90279,              0.9292,             0.94379,             0.49985,            0.032464,           0.0047362,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027668,           0.0074351,                   0,              0.8767,              0.9469,             0.94466,             0.50448,            0.032421,           0.0048473,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026948,           0.0075452,                   0,             0.88771,             0.95575,             0.94096,             0.49769,            0.032208,           0.0047465,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029572,           0.0073317,                   0,             0.88085,             0.93805,             0.94136,             0.52569,            0.030876,           0.0047637,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027791,           0.0072114,                   0,             0.92507,             0.92035,             0.92826,             0.51773,            0.032177,           0.0049108,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026855,           0.0069779,                   0,             0.91937,             0.90817,             0.92401,             0.53317,             0.03113,           0.0048957,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026578,           0.0061543,                   0,             0.89042,             0.93805,             0.92274,             0.50422,            0.032114,            0.004894,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026047,           0.0070229,                   0,             0.90615,             0.93989,             0.92004,             0.50618,            0.031453,           0.0047335,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026246,           0.0068351,                   0,             0.91405,             0.90265,              0.8985,             0.50664,            0.031517,            0.004849,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025756,           0.0068186,                   0,             0.89667,             0.92158,             0.91016,             0.50515,            0.031219,           0.0047656,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026203,           0.0073197,                   0,             0.89793,              0.9469,             0.93958,             0.53496,            0.031531,           0.0048035,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.026063,           0.0068153,                   0,             0.88604,             0.93805,             0.93013,             0.50668,            0.032236,           0.0047609,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025755,           0.0068219,                   0,             0.89905,             0.94576,             0.91413,             0.51751,            0.031757,           0.0048157,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025777,           0.0066108,                   0,              0.8911,             0.95575,             0.93817,             0.51219,             0.03194,           0.0048666,                   0,            0.004555,            0.004555,            0.004555
